Title,Body,Labels
Этап 0. Подготовка — Настройка окружения,"- [ ] Создать репозиторий на GitHub
- [ ] Добавить .gitignore (Python, Node.js)
- [ ] Настроить базовый CI (lint + pytest)
- [ ] Создать docker-compose.yml (Postgres + Qdrant)",Этап 0. Подготовка
Этап 1. Основы данных — Модель кандидата,"- [ ] Таблица candidates (id, описание, vectors, created_at)
- [ ] API POST /candidates (загрузка описания)
- [ ] Вызов embeddings (OpenAI API)
- [ ] Сохранение в Qdrant + Postgres",Этап 1. Основы данных
Этап 1. Основы данных — Модель работодателя,"- [ ] Таблица employers (id, описание, vectors, created_at)
- [ ] API POST /employers (загрузка описания)
- [ ] Вызов embeddings (OpenAI API)
- [ ] Сохранение в Qdrant + Postgres",Этап 1. Основы данных
Этап 2. Матчинг ядро — Поиск кандидатов по вакансии,"- [ ] API GET /employers/:id/recommendations
- [ ] Поиск top-N кандидатов в Qdrant
- [ ] Rerank через LLM (LangGraph узел)
- [ ] Вернуть top-3 с пояснением",Этап 2. Матчинг ядро
Этап 2. Матчинг ядро — Поиск вакансий по кандидату,"- [ ] API GET /candidates/:id/recommendations
- [ ] Поиск top-N вакансий в Qdrant
- [ ] Rerank через LLM
- [ ] Вернуть top-3 с пояснением",Этап 2. Матчинг ядро
Этап 2. Матчинг ядро — Таблица матчей,"- [ ] Таблица matches (candidate_id, employer_id, score, explanation)
- [ ] API сохранения результатов",Этап 2. Матчинг ядро
Этап 3. Карточки и доступ — Лайк/дизлайк,"- [ ] API POST /matches/:id/like
- [ ] API POST /matches/:id/dislike
- [ ] Таблица interactions (user_id, match_id, action)",Этап 3. Карточки и доступ
Этап 3. Карточки и доступ — Открытие карточки,"- [ ] Логика: если обе стороны лайкнули → открыть карточку
- [ ] API GET /matches/:id/details (возвращает полное описание)",Этап 3. Карточки и доступ
Этап 4. Минимальный фронтенд — Авторизация,"- [ ] Простой email login (без OAuth)
- [ ] JWT-сессии",Этап 4. Минимальный фронтенд
Этап 4. Минимальный фронтенд — Форма профиля,"- [ ] Форма для кандидата (описание + ключевые вопросы)
- [ ] Форма для работодателя (описание + задачи)
- [ ] Отправка в API",Этап 4. Минимальный фронтенд
Этап 4. Минимальный фронтенд — Рекомендации,"- [ ] Экран: список кандидатов/вакансий (top-3)
- [ ] Пояснение LLM (почему матч)
- [ ] Кнопки ✅ / ❌",Этап 4. Минимальный фронтенд
Этап 4. Минимальный фронтенд — Мои матчи,"- [ ] Экран 'Мои матчи'
- [ ] Раскрытие карточки при взаимном лайке",Этап 4. Минимальный фронтенд
Этап 5. Feedback loop — Логирование,"- [ ] Сохранять все лайки/дизлайки
- [ ] API получения истории взаимодействий",Этап 5. Feedback loop
Этап 5. Feedback loop — Улучшение рекомендаций,"- [ ] Учитывать лайки (повышать вес embeddings)
- [ ] Учитывать дизлайки (ослаблять вес embeddings)",Этап 5. Feedback loop
Этап 6. Деплой — Docker-сборка,"- [ ] Dockerfile для backend
- [ ] Dockerfile для frontend
- [ ] docker-compose для продакшена",Этап 6. Деплой
Этап 6. Деплой — Деплой,"- [ ] Поднять VPS (Hetzner / DO)
- [ ] Настроить HTTPS (Caddy / Nginx)
- [ ] GitHub Actions auto-deploy",Этап 6. Деплой
